AI Title,Human Title,Title Match Score,Journal,Country,Publication Year,Study Design,DOACs Included,Indications for Anticoagulation,Relevant Subgroups,Indications for DOAC Level Measurement,Pre-Analytical Variables,Conventional Coag Tests Concurrent,Global Coag Tests,Timing of DOAC Level Measurement,Clinical Outcomes Measured?,Clinical Outcomes,Clinical Outcome Definition,Comparator Assays,Reported Cutoffs,Diagnostic Performance Parameters,Mean Score
"The Pharmacology, Efficacy, and Safety of Rivaroxaban in Obese Patient Populations","The Pharmacology, Efficacy, and Safety of Rivaroxaban in Obese Patient Populations.",100.0,1.0,0.25,1.0,0.5217391304347826,1.0,0.6666666666666666,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.552133655394525
Intravenous Thrombolysis in Patients With Ischemic Stroke and Recent Ingestion of Direct Oral Anticoagulants,Intravenous Thrombolysis in Patients With Ischemic Stroke and Recent Ingestion of Direct Oral Anticoagulants.,100.0,1.0,0.35294117647058826,1.0,0.5882352941176471,1.0,0.5,0.3333333333333333,0.5,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.5522875816993464
High fracture and DOAC level: A retrospective study of 72 cases,Hip fracture and DOAC level: A retrospective study of 72 cases.,97.5609756097561,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5555555555555556
"Feasibility, effectiveness, and safety of edoxaban administration through percutaneous endoscopic gastrostomy: 12-months follow up of the ORIGAMI study","Feasibility, effectiveness, and safety of edoxaban administration through percutaneous endoscopic gastrostomy: 12-months follow up of the ORIGAMI study.",100.0,1.0,1.0,1.0,0.8059701492537313,1.0,0.5,0.3333333333333333,0.3333333333333333,0.25,1.0,1.0,0.0,1.0,0.2,0.0,0.0,0.0,1.0,0.5790353786622444
"Initiation of rivaroxaban following low molecular weight heparin for thromboprophylaxis after total joint replacement: The Safe, Simple Transitions (SST) study","Initiation of rivaroxaban following low molecular weight heparin for thromboprophylaxis after total joint replacement: the Safe, Simple Transitions (SST) study.",100.0,1.0,0.25,1.0,1.0,1.0,1.0,0.0,0.5,0.25,1.0,1.0,0.0,1.0,0.25,0.0,0.5,1.0,0.0,0.5972222222222222
Rivaroxaban dose adjustment using thrombin generation in severe congenital protein C deficiency and warfarin-induced skin necrosis,Rivaroxaban dose adjustment using thrombin generation in severe congenital protein C deficiency and warfarin-induced skin necrosis,100.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2,1.0,1.0,1.0,0.0,1.0,0.5,0.0,0.3333333333333333,1.0,0.0,0.6129629629629629
Management of DOAC in Patients Undergoing Planned Surgery or Invasive Procedure: Italian Federation of Centers for the Diagnosis of Thrombotic Disorders and the Surveillance of the Antithrombotic Therapies (FCSA) Position Paper,Management of DOAC in Patients Undergoing Planned Surgery or Invasive Procedure: Italian Federation of Centers for the Diagnosis of Thrombotic Disorders and the Surveillance of the Antithrombotic Therapies (FCSA) Position Paper.,100.0,1.0,1.0,0.0,0.24390243902439024,0.75,0.5,0.0,0.6666666666666666,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6200316169828365
Apixaban-Calibrated Anti-FXa Activity in Relation to Outcome Events and Clinical Characteristics in Patients with Atrial Fibrillation: Results from the AVERROES Trial,Apixaban-Calibrated Anti-FXa Activity in Relation to Outcome Events and Clinical Characteristics in Patients with Atrial Fibrillation: Results from the AVERROES Trial.,100.0,0.7272727272727272,0.2666666666666667,1.0,0.45283018867924524,1.0,1.0,0.75,1.0,0.5,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.6313020138491836
Factors Associated With Edoxaban Concentration Among Patients With Atrial Fibrillation,Factors Associated With Edoxaban Concentration Among Patients With Atrial Fibrillation.,100.0,1.0,0.36363636363636365,1.0,1.0,1.0,1.0,0.5,0.5,0.75,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.6359427609427609
Impact of the Genotype and Phenotype of CYP3A and P-gp on the Apixaban and Rivaroxaban Exposure in a Real-World Setting,Impact of the Genotype and Phenotype of CYP3A and P-gp on the Apixaban and Rivaroxaban Exposure in a Real-World Setting.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.75,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6712962962962963
Remaining activity of temporary interrupted direct oral anticoagulants and its impact on intra-ablation heparinization in patients with atrial fibrillation: Comparisons across four drugs and two dose regimens,Remaining activity of temporary interrupted direct oral anticoagulants and its impact on intra-ablation heparinization in patients with atrial fibrillation: Comparisons across four drugs and two dose regimens.,100.0,1.0,1.0,1.0,0.5882352941176471,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6715686274509803
The assessment of anticoagulant activity to predict bleeding outcome in atrial fibrillation patients receiving dabigatran etexilate,The assessment of anticoagulant activity to predict bleeding outcome in atrial fibrillation patients receiving dabigatran etexilate.,100.0,1.0,1.0,1.0,0.5882352941176471,1.0,1.0,0.0,0.3333333333333333,0.25,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.36496350364963503,0.677955488764849
Anticoagulant Effects of Dabigatran in Paediatric Patients Compared with Adults: Combined Data from Three Paediatric Clinical Trials,Anticoagulant Effects of Dabigatran in Paediatric Patients Compared with Adults: Combined Data from Three Paediatric Clinical Trials.,100.0,0.7,0.3181818181818181,1.0,0.4727272727272727,1.0,1.0,0.5,0.3333333333333333,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6846801346801347
