AI Title,Human Title,Title Match Score,Journal,Country,Publication Year,Study Design,DOACs Included,Indications for Anticoagulation,Relevant Subgroups,Indications for DOAC Level Measurement,Pre-Analytical Variables,Conventional Coag Tests Concurrent,Global Coag Tests,Timing of DOAC Level Measurement,Clinical Outcomes Measured?,Clinical Outcomes,Clinical Outcome Follow-Up,Clinical Outcome Definition,Comparator Assays,Reported Cutoffs,Diagnostic Performance Parameters,Mean Score
Remaining activity of temporary interrupted direct oral anticoagulants and its impact on intra-ablation heparinization in patients with atrial fibrillation: Comparisons across four drugs and two dose regimens,Remaining activity of temporary interrupted direct oral anticoagulants and its impact on intra-ablation heparinization in patients with atrial fibrillation: Comparisons across four drugs and two dose regimens.,100.0,1.0,1.0,1.0,0.5882352941176471,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.478328173374613
Apixaban-Calibrated Anti-FXa Activity in Relation to Outcome Events and Clinical Characteristics in Patients with Atrial Fibrillation: Results from the AVERROES Trial,Apixaban-Calibrated Anti-FXa Activity in Relation to Outcome Events and Clinical Characteristics in Patients with Atrial Fibrillation: Results from the AVERROES Trial.,100.0,1.0,0.2666666666666667,1.0,0.45283018867924524,1.0,1.0,0.75,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5247103608076796
Dabigatran is Less Effective Than Warfarin at Attenuating Mechanical Heart Valve-Induced Thrombin Generation,Dabigatran is Less Effective Than Warfarin at Attenuating Mechanical Heart Valve-Induced Thrombin Generation.,100.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5263157894736842
Pre-Operative Direct Oral Anticoagulant Level Measurement Reduces Time to Surgery in Hip Fracture Patients,Pre-Operative Direct Oral Anticoagulant Level Measurement Reduces Time to Surgery in Hip Fracture Patients.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.543859649122807
"Initiation of rivaroxaban following low molecular weight heparin for thromboprophylaxis after total joint replacement: The Safe, Simple Transitions (SST) study","Initiation of rivaroxaban following low molecular weight heparin for thromboprophylaxis after total joint replacement: the Safe, Simple Transitions (SST) study.",100.0,1.0,0.25,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.25,1.0,1.0,0.5,1.0,0.25,0.0,0.0,0.0,1.0,0.0,0.5570175438596492
Intravenous Thrombolysis in Patients With Ischemic Stroke and Recent Ingestion of Direct Oral Anticoagulants,Intravenous Thrombolysis in Patients With Ischemic Stroke and Recent Ingestion of Direct Oral Anticoagulants.,100.0,1.0,0.35294117647058826,1.0,0.5882352941176471,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.5583075335397316
"The Pharmacology, Efficacy, and Safety of Rivaroxaban in Obese Patient Populations","The Pharmacology, Efficacy, and Safety of Rivaroxaban in Obese Patient Populations.",100.0,1.0,0.25,1.0,0.5217391304347826,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5932494279176201
Laboratory measurement of apixaban using anti-factor Xa assays in acute ischemic stroke patients with non-valvular atrial fibrillation,Laboratory measurement of apixaban using anti-factor Xa assays in acute ischemic stroke patients with non-valvular atrial fibrillation.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5964912280701755
Rivaroxaban dose adjustment using thrombin generation in severe congenital protein C deficiency and warfarin-induced skin necrosis,Rivaroxaban dose adjustment using thrombin generation in severe congenital protein C deficiency and warfarin-induced skin necrosis,100.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6
Dabigatran With or Without Concomitant Aspirin Compared With Warfarin Alone in Patients With Nonvalvular Atrial Fibrillation (PETRO Study),Dabigatran with or without concomitant aspirin compared with warfarin alone in patients with nonvalvular atrial fibrillation (PETRO Study).,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.6271929824561403
"Feasibility, effectiveness, and safety of edoxaban administration through percutaneous endoscopic gastrostomy: 12-months follow up of the ORIGAMI study","Feasibility, effectiveness, and safety of edoxaban administration through percutaneous endoscopic gastrostomy: 12-months follow up of the ORIGAMI study.",100.0,1.0,1.0,1.0,0.8059701492537313,1.0,0.5,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6301387797852841
Management of DOAC in Patients Undergoing Planned Surgery or Invasive Procedure: Italian Federation of Centers for the Diagnosis of Thrombotic Disorders and the Surveillance of the Antithrombotic Therapies (FCSA) Position Paper,Management of DOAC in Patients Undergoing Planned Surgery or Invasive Procedure: Italian Federation of Centers for the Diagnosis of Thrombotic Disorders and the Surveillance of the Antithrombotic Therapies (FCSA) Position Paper.,100.0,1.0,1.0,0.0,0.24390243902439024,0.75,0.5,0.0,0.6666666666666666,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6400299529311082
Dabigatran versus Warfarin in Patients with Mechanical Heart Valves,Dabigatran versus warfarin in patients with mechanical heart valves.,100.0,1.0,0.16,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.6487719298245613
The Effect of Direct Oral Anticoagulants on Antithrombin Activity Testing Is Abolished by DOAC-Stop in Venous Thromboembolism Patients,The Effect of Direct Oral Anticoagulants on Antithrombin Activity Testing Is Abolished by DOAC-Stop in Venous Thromboembolism Patients.,100.0,0.59375,1.0,1.0,0.8059701492537313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6526168499607227
Population pharmacokinetic analysis for dabigatran etexilate in Chinese patients with non-valvular atrial fibrillation,Population pharmacokinetic analysis for dabigatran etexilate in Chinese patients with non-valvular atrial fibrillation.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.8,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.656140350877193
Identification and Management of Noncompliance in Atrial Fibrillation Patients Receiving Dabigatran: The Role of a Drug Monitor,Identification and management of noncompliance in atrial fibrillation patients receiving dabigatran: the role of a drug monitor.,100.0,0.1463414634146342,1.0,1.0,0.5882352941176471,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6570829872385411
Dose reduction of edoxaban preserves efficacy and safety for the treatment of venous thromboembolism,"Dose reduction of edoxaban preserves efficacy and safety for the treatment of venous thromboembolism. An analysis of the randomised, double-blind HOKUSAI VTE trial.",100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.25,0.0,0.0,1.0,1.0,1.0,0.6578947368421053
The assessment of anticoagulant activity to predict bleeding outcome in atrial fibrillation patients receiving dabigatran etexilate,The assessment of anticoagulant activity to predict bleeding outcome in atrial fibrillation patients receiving dabigatran etexilate.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.40476190476190477,0.6616541353383458
Potential treatment option of rivaroxaban for breastfeeding women: A case series,Potential treatment option of rivaroxaban for breastfeeding women: A case series.,100.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666
Impact of the Genotype and Phenotype of CYP3A and P-gp on the Apixaban and Rivaroxaban Exposure in a Real-World Setting,Impact of the Genotype and Phenotype of CYP3A and P-gp on the Apixaban and Rivaroxaban Exposure in a Real-World Setting.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.75,1.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666
Influence of apixaban on antifactor Xa levels in a patient with acute kidney injury,Influence of apixaban on antifactor Xa levels in a patient with acute kidney injury,100.0,0.6875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6677631578947368
Acute ischemic stroke and measurement of apixaban and rivaroxaban: an observational cohort implementation study,Acute ischemic stroke and measurement of apixaban and rivaroxaban: an observational cohort implementation study.,100.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6754385964912281
Factors affecting serum concentration of dabigatran in Asian patients with non-valvular atrial fibrillation,Factors affecting serum concentration of dabigatran in Asian patients with non-valvular atrial fibrillation.,100.0,1.0,1.0,1.0,0.4727272727272727,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6827751196172249
Assessment of DOAC in GEriatrics (ADAGE Study): Rivaroxaban/Apixaban Concentrations and Thrombin Generation Profiles in NVAF Very Elderly Patients,Assessment of DOAC in GEriatrics (Adage Study): Rivaroxaban/Apixaban Concentrations and Thrombin Generation Profiles in NVAF Very Elderly Patients,100.0,1.0,0.42857142857142855,1.0,1.0,1.0,1.0,0.5,0.8,1.0,1.0,1.0,0.25,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6830827067669173
High fracture and DOAC level: A retrospective study of 72 cases,Hip fracture and DOAC level: A retrospective study of 72 cases.,97.5609756097561,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6842105263157895
Anticoagulant Effects of Dabigatran in Paediatric Patients Compared with Adults: Combined Data from Three Paediatric Clinical Trials,Anticoagulant Effects of Dabigatran in Paediatric Patients Compared with Adults: Combined Data from Three Paediatric Clinical Trials.,100.0,1.0,0.3181818181818181,1.0,0.4727272727272727,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.6995215311004784
EFFECTS OF DIRECT ORAL ANTICOAGULANTS ON THROMBOELASTOGRAPHIC PARAMETERS AND FIBRIN CLOT PROPERTIES IN PATIENTS WITH VENOUS THROMBOEMBOLISM,Effects of direct oral anticoagulants on thromboelastographic parameters and fibrin clot properties in patients with venous thromboembolism.,100.0,1.0,1.0,1.0,0.6181818181818182,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.7167464114832536
Model-based Dose Selection for Phase III Rivaroxaban Study in Japanese Patients with Non-valvular Atrial Fibrillation,Model-based dose selection for phase III rivaroxaban study in Japanese patients with non-valvular atrial fibrillation.,100.0,0.7741935483870968,1.0,1.0,0.48148148148148145,1.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7239828963088726
Low drug levels and thrombotic complications in high-risk atrial fibrillation patients treated with direct oral anticoagulants,Low drug levels and thrombotic complications in high-risk atrial fibrillation patients treated with direct oral anticoagulants.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.25,0.0,0.0,1.0,1.0,1.0,0.7324561403508771
